stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\gustavo.pneumann\source\repos\Project1\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.19139] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19148] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19158] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19167] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19176] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19185] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19195] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19205] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19214] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19223] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19233] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19243] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19253] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19263] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19273] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19284] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19296] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19306] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19314] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19323] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19333] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19349] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19358] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19367] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19375] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19384] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19393] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19403] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19412] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19422] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19431] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19440] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19448] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19457] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19466] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19475] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19483] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19492] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19501] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19510] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19519] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19528] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19536] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19545] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19553] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19561] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19570] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19579] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19587] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19597] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19605] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19622] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19631] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19641] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19650] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19659] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19668] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19677] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19687] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19696] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19705] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19715] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19723] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19733] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19742] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19751] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19760] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19769] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19778] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19788] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19796] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19806] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19815] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19824] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19833] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19843] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19852] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19861] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19870] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19879] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19889] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19905] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19914] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19923] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19932] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19941] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19951] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19962] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19971] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19980] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19990] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19999] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20011] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20019] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.20034] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.20105] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.20115] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.21746] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.25876] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.25893] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.25909] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.25925] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.25940] Returning d3d_display: 0000020D9137B1D0
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.25952] al_display=0000020D9137B1D0
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.25962] al_display->vt=0000020D93428D60
system   D            wsystem.c:834  maybe_parent_dir                 [   0.25998] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.26147] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.26178] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.26304] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.26325] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.26451] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.26471] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.26594] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.26620] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.26740] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.26758] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.26878] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.26900] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.27024] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.27043] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.27162] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.27180] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.27301] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.27320] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.27438] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.27456] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.27578] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.27603] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.27740] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.27760] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.27882] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.27905] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.28032] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.28057] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.28178] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.28198] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.28320] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.28338] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.28456] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.28474] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.28591] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.28610] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.28727] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:834  maybe_parent_dir                 [   0.28750] Also searching C:\Users\gustavo.pneumann\source\repos\Project1\x64\
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.28871] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.28884] Failed to load D3DX9 library. Library is not installed.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.28905] opening palmas.wav rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.28927] opening palmas.wav rb
wav      E                wav.c:310  _al_load_wav                     [   0.28943] Unable to open palmas.wav for reading.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.28971] opening spaceship.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.29043] opening spaceship.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29082] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29093] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29106] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29120] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29129] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29141] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29151] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29161] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29170] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.29180] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.29190] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.29203] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.29217] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.29306] added dtor for bitmap 0000020D9416ED80, func 00007FFD44E8118B
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.29367] opening metheor.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.29422] opening metheor.png rb
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29449] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29460] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29470] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29480] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29490] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29500] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29510] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29521] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.29531] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.29541] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.29552] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.29562] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.29571] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.29619] added dtor for bitmap 0000020D9A1E52F0, func 00007FFD44E8118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.29664] added dtor for queue 0000020D9136A8D0, func 00007FFD44E81C30
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.29837] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.29847] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.29884] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.29895] _al_d3d_sync_bitmap (video) ref count == 1
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.29941] opening arial.ttf rb
font     D                ttf.c:973  al_load_ttf_font_stretch_f       [   0.30025] Font arial.ttf loaded with pixel size 0 x 20.
font     D                ttf.c:975  al_load_ttf_font_stretch_f       [   0.30034]     ascent=19.0, descent=-5.0, height=23.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.30045] added dtor for ttf_font 0000020D94157DE0, func 00007FFDC39C128F
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33828] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33852] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33867] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33881] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33893] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33907] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33918] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33931] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.33943] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.33954] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.33966] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.33978] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.33989] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   0.34205] Glyph 57: 18x19 (20x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.34231] Locking glyph region: 0000020D9A264740 0 0 20 20
font     D                ttf.c:167  unlock_current_page              [   0.34498] Unlocking page: 0000020D9A264740
font     D                ttf.c:243  alloc_glyph_region               [   0.34527] Glyph 76: 7x19 (8x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.34542] Locking glyph region: 0000020D9A264740 20 0 8 20
font     D                ttf.c:167  unlock_current_page              [   0.34568] Unlocking page: 0000020D9A264740
font     D                ttf.c:243  alloc_glyph_region               [   0.34591] Glyph 71: 14x19 (16x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.34607] Locking glyph region: 0000020D9A264740 28 0 16 20
font     D                ttf.c:167  unlock_current_page              [   0.34627] Unlocking page: 0000020D9A264740
font     D                ttf.c:243  alloc_glyph_region               [   0.34648] Glyph 68: 15x15 (16x16)
font     D                ttf.c:287  alloc_glyph_region               [   0.34666] Locking glyph region: 0000020D9A264740 44 0 16 16
font     D                ttf.c:167  unlock_current_page              [   0.34684] Unlocking page: 0000020D9A264740
font     D                ttf.c:243  alloc_glyph_region               [   0.34699] Glyph 86: 14x15 (16x16)
font     D                ttf.c:287  alloc_glyph_region               [   0.34709] Locking glyph region: 0000020D9A264740 60 0 16 16
font     D                ttf.c:167  unlock_current_page              [   0.34722] Unlocking page: 0000020D9A264740
font     D                ttf.c:243  alloc_glyph_region               [   0.34736] Glyph 29: 7x14 (8x16)
font     D                ttf.c:287  alloc_glyph_region               [   0.34745] Locking glyph region: 0000020D9A264740 76 0 8 16
font     D                ttf.c:167  unlock_current_page              [   0.34759] Unlocking page: 0000020D9A264740
font     D                ttf.c:471  cache_glyph                      [   0.34776] Glyph 3 has zero size.
font     D                ttf.c:243  alloc_glyph_region               [   0.34800] Glyph 22: 15x19 (16x20)
font     D                ttf.c:287  alloc_glyph_region               [   0.34818] Locking glyph region: 0000020D9A264740 84 0 16 20
font     D                ttf.c:167  unlock_current_page              [   0.34838] Unlocking page: 0000020D9A264740
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.34935] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.34948] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [   6.68479] Glyph 20: 10x19 (12x20)
font     D                ttf.c:287  alloc_glyph_region               [   6.68528] Locking glyph region: 0000020D9A264740 100 0 12 20
font     D                ttf.c:167  unlock_current_page              [   6.68549] Unlocking page: 0000020D9A264740
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   6.68698] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   6.68727] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:243  alloc_glyph_region               [  13.46828] Glyph 21: 15x19 (16x20)
font     D                ttf.c:287  alloc_glyph_region               [  13.46872] Locking glyph region: 0000020D9A264740 112 0 16 20
font     D                ttf.c:167  unlock_current_page              [  13.46897] Unlocking page: 0000020D9A264740
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  13.47002] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  13.47028] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.46197] removed dtor for timer 0000020D912D6100
d3d      I         d3d_disp.cpp:910  d3d_destroy_display              [  20.46249] destroying display 0000020D9137B1D0 (current 0000000000000000)
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  20.46587] converting display bitmap 0000020D9A264740 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  20.46628] added dtor for bitmap 0000020D9A288BE0, func 00007FFD44E8118B
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  20.46642] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  20.46659] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.46843] removed dtor for bitmap 0000020D9A288BE0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  20.46896] converting display bitmap 0000020D9A1E52F0 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  20.46918] added dtor for bitmap 0000020D9A288BE0, func 00007FFD44E8118B
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  20.46934] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  20.46951] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.46991] removed dtor for bitmap 0000020D9A288BE0
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  20.47010] converting display bitmap 0000020D9416ED80 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  20.47031] added dtor for bitmap 0000020D9A288BE0, func 00007FFD44E8118B
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  20.47045] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  20.47057] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  20.47092] removed dtor for bitmap 0000020D9A288BE0
d3d      D         d3d_disp.cpp:894  d3d_destroy_display_internals    [  20.47105] waiting for display 0000020D9137B1D0's thread to end
d3d      W         d3d_disp.cpp:603  d3d_destroy_device               [  20.48051] d3d_destroy_device: ref count not 0
